title,brand,image_url,priced_before,discount_percent,current_price,size
High-Rise Washed Push-Up Jeans,DNMX,https://assets.ajio.com/medias/sys_master/root/hcf/hd8/15353296257054/-286Wx359H-441033867-ltblue-MODEL.jpg,1299,40% off,779,[28-34]
Typographic Print Crew-Neck T-shirt,RIO,https://assets.ajio.com/medias/sys_master/root/h3b/hea/15038733746206/-286Wx359H-441036280-pink-MODEL.jpg,599,49% off,305,[S-L]
Printed Round-Neck Nightshirt,OTHER CHARACTERS,https://assets.ajio.com/medias/sys_master/root/h5a/h9a/14936061542430/-286Wx359H-441021150-mediumblue-MODEL.jpg,599,49% off,305,[XS-S-M-L]
Solid Shirt with Waistcoat and Bow,KB TEAM SPIRIT,https://assets.ajio.com/medias/sys_master/root/hc5/hf2/14798218297374/-286Wx359H-441010631-yellow-MODEL.jpg,899,49% off,458,[2-3Y-3-4Y-5-6Y-7-8Y]
Swiss-Dot Button-Down Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/hd3/hda/15163308900382/-286Wx359H-441023521-mustard-MODEL.jpg,899,49% off,458,[XS-S-M-L-XL-XXL]
Mandarin Collar Cotton Linen Shirt,NETPLAY,https://assets.ajio.com/medias/sys_master/root/h8f/h58/13963937054750/-286Wx359H-441001413-darkblue-MODEL.jpg,999,51% off,490,[S-M-L-XL-XXL]
Sheer Top with Floral Lace Inserts,FIG,https://assets.ajio.com/medias/sys_master/root/hb1/h4f/14612410335262/-286Wx359H-441023264-mint-MODEL.jpg,799,49% off,407,[S-M-L-XXL]
Washed 5-Pocket Jeans,KG FRENDZ,https://assets.ajio.com/medias/sys_master/root/h1b/hed/14626774777886/-286Wx359H-441017162-blue-MODEL.jpg,549,49% off,280,[2-3Y-3-4Y-5-6Y-7-8Y]
Floral Print Straight Kurta,FUSION,https://assets.ajio.com/medias/sys_master/root/hbf/h0c/12742006341662/-286Wx359H-440955529-yellow-MODEL.jpg,499,51% off,245,[XS-S-M-L-XL-XXL]
Minnie Mouse Print Crew-Neck T-shirt,DISNEY,https://assets.ajio.com/medias/sys_master/root/hdd/hda/15083906990110/-286Wx359H-441021170-white-MODEL.jpg,599,49% off,305,[XS-S-M-L-XL]
